"business_id","name","city","state","postal_code","yelp_avg_rating","review_count"
"MmU8ak-uG-s1RbqXu13m0Q","3 Amigos","Montréal","QC","H3H 1L9",2.5,143
"cpkBJhBujpBFZ0rOItE-4g","Trattoria D'Amico","Phoenix","AZ","85044",4,131
"pEH8XwiyGOe1t7GlboAgGw","Los Colibris","Toronto","ON","M5H 1K4",4,105
"tstimHoMcYbkSC4eBA1wEg","Mama Maria's Mexican Restaurant","Las Vegas","NV","89156",4.5,120
"eqg6UyuVLwzAplUvN9UkSw","Lisa Marie","Toronto","ON","M6J 1E3",3.5,130
"LPCFfrQow0kl7EABuM7VDA","Inatei Japanese Cuisine","Richmond Hill","ON","L4B 0B2",4,113
"1uPQTz5XZSWr0ti7kUpaDw","Mai Xiang Yuan","Montréal","QC","H2Z 1J5",4,304
"bGoGHSWHvhftHMWWxQXYbw","Ouzeri","Toronto","ON","M4K 1P6",3.5,122
"f9sU31meK0bqAD7922sCog","Sage","Las Vegas","NV","89109",4,917
"Do4n_yK_K6DmR9_Es5qwlA","Drugstore Cafe","Las Vegas","NV","89109",3.5,148
"xkVMIk_Vqh17f48ZQ_6b0w","Tom Colicchio's Craftsteak","Las Vegas","NV","89109",4,1915
"z2Yivr-C0K0H2sLNXvnZyg","Peace -N- Hominy Q Shack","Belmont","NC","28012",4.5,168
"uwDyxK92ae5kNjeZE8uCgA","California Pizza Kitchen","Tempe","AZ","85281",3.5,123
"XlUuMGMvkzy_QLAUTEe-fw","Dumpling King","Las Vegas","NV","89146",3.5,120
"d4qwVw4PcN-_2mK2o1Ro1g","Pink Taco","Las Vegas","NV","89169",3.5,841
"M70Jr9yUWCDfoTsZS3uq7A","Eden","Pittsburgh","PA","15232",4.5,129
"4k3RlMAMd46DZ_JyZU0lMg","Ramen Sora","Las Vegas","NV","89102",4,1008
"Po0QGzgwFrfnGJEi_akCjA","Korean Garden BBQ House","Las Vegas","NV","89102",3,260
"EtZacHzJ2gw0V9Sdm2rLQA","George's Gyros","Mesa","AZ","85201",4.5,113
"iE71iwcSljg3xm2GB2Y9aA","Marigold Maison- Paradise Valley","Phoenix","AZ","85032",4.5,288
"gDjHnPJDx9ZVse0i9mp5hQ","La's Thai Cuisine","Scottsdale","AZ","85257",4,166
"H9a6IRS0edhW343Y2kXSSA","The Liberty","Charlotte","NC","28203",3.5,313
"YCEZLECK9IToE8Mysorbhw","Daily Kitchen Modern Eatery and Rotisserie","Las Vegas","NV","89135",3.5,143
"dw2ST-AHUbu2xq0QNfngBA","JOEY Don Mills","Toronto","ON","M3C 0H2",3.5,239
"cXdQ3H0GqcIzRgrvBEaBxw","Noodle & Rice","Phoenix","AZ","85022",4,185
"aWYWNfHuQJyRwDHaHq8X1w","Tex Tubb's Taco Palace","Madison","WI","53704",3.5,242
"h3pMMRwqBjMeMtk0_qQzRQ","Mezzo Bistro and Wine","Las Vegas","NV","89130",3.5,332
"-zEpEmDfFQL-ph0N3BDlXA","Sakanaya Restaurant","Champaign","IL","61820",4.5,242
"5p5YW_5bMOSuLIQjkJPO3w","Naples 15","Madison","WI","53703",4,135
"mlCDsdVFuZvRGrJTfQ6amw","Melt Bar & Grilled","Independence","OH","44131",4,419
"6xgcHeLad-VaoTIQewK84A","N9NE Steakhouse","Las Vegas","NV","89103",4,800
"zNGYsFeG_7XEBodbtfux5Q","Khyber Halal","Phoenix","AZ","85016",4,208
"2Yq-Y-tDroP7mdDfcWJLCQ","Tacos Atoyac","Phoenix","AZ","85021",4.5,312
"_nB8HNT2IDRhlAoY9TPYew","Sushi Time","Tempe","AZ","85282",3.5,112
"VzUo-RURV3VnfNItAYM8yg","Boba Hut","Las Vegas","NV","89118",4,181
"Bb-Y-gKgZJak83zfzQoj1g","Zur Kate","Mesa","AZ","85205",4,133
"u-SvRRAfYgpbXZRfQgcTzA","Imadake","Montréal","QC","H3Z 1P2",4,202
"SHFlELFcEcAOJv_fTAKChQ","Dandelion Market","Charlotte","NC","28202",4,452
"H_eO04NZAQIDcbtFQ4BUag","Bobo China","Las Vegas","NV","89117",4.5,158
"CdpBVSkL2Pljj-yP0ihb_w","Thai Orchid Garden Restaurant","Avondale","AZ","85392",4,150
"d482l58ho0_IMdFkXX1F5Q","DB Brasserie","Las Vegas","NV","89109",3.5,317
"-1VaIJza42Hjev6ukacCNg","Rio Mirage Cafe Y Cantina","El Mirage","AZ","85335",4,142
"C-Qkudv7u8465nLasGR31A","Tru Burger Co.","Anthem","AZ","85086",3.5,124
"uuGlYAIvYAX1q1KhpY6dtA","Brand Steakhouse","Las Vegas","NV","89109",4,481
"jmyvOW6G2T1fIePvajB4nQ","Cuba Cafe","Las Vegas","NV","89119",4,261
"VYNriOotbFZ7Qj_6jwUB5g","Sergio's Italian Gardens","Las Vegas","NV","89119",4,129
"uejutOD4_-IUaY5cKkpezg","Rush Espresso Cafe and Wine Bar","Charlotte","NC","28277",4.5,164
"Ta4GRuHyZvU5H_l5IAG1PQ","Nanay Gloria's","Las Vegas","NV","89146",3.5,128
"1JF9TbJ2d5hH8xsQvvklHg","Irma's Kitchen","Phoenix","AZ","85007",4.5,143
"kHpXJ2vciumu2KhNHg0hYA","Majerle's Sports Grill","Phoenix","AZ","85004",3.5,228
"raVyoZbWWuN7JcFUdT7k2g","Sochu House","Phoenix","AZ","85004",4,179
"v9u0NgjA4iQeKGevFnYSCA","Arizona Biltmore","Phoenix","AZ","85016",3.5,385
"3U__XOTBFptjhBeHrPGqrg","George's Kitchen","Phoenix","AZ","85016",4.5,111
"JK_DiDwbl7HX5OhCAh3h4g","Cafe Diplomatico","Toronto","ON","M6G 1B3",3,137
"UE3AvVnaPEBPneVahYT2eA","The White Chocolate Grill","Phoenix","AZ","85054",4,698
"4qQVf2lt-47VcQ4v54PEXQ","Basil & Garlic Bistro","Scottsdale","AZ","85260",4.5,200
"aqwn3jdQLCWnb59gHK4nAw","Chicken Shack","Henderson","NV","89014",4,338
"XdOxflXrlWRdL9IWzXC54Q","Olive Garden Italian Restaurant","Las Vegas","NV","89149",3.5,146
"nc7YTLSXEWPG4Q0WlI5iPQ","Ajo Al's Mexican Cafe","Glendale","AZ","85308",3.5,103
"AueEbb9kao4lt6CYt06hqw","Okra Cookhouse & Cocktails","Phoenix","AZ","85014",4,176
"WOd8tWsh2Yt_osHv-ngx_w","Universel","Montréal","QC","H3A 1V4",4,251
"jnroKk9qi0FR2bFSkxYZNg","Booming Pot Noodles","Las Vegas","NV","89102",4,150
"s8OLoPfOpB0FbK5frI3CkQ","The Peculiar Rabbit","Charlotte","NC","28205",3,346
"6z3cgIE9dJ01wUm43f0yBQ","Fat Dumpling","Las Vegas","NV","89109",3.5,188
"DyVteo8Blf5gEfC9QbJE9A","Arizona Charlie's Decatur","Las Vegas","NV","89107",3,127
"pDoDY-cDLyeKQgDx5RAlnQ","Jake's Good Eats","Charlotte","NC","28215",3.5,130
"8xCiibfgqy-8xpCWEaguqg","The Keg Steakhouse + Bar - Place Ville Marie","Montréal","QC","H3B 2G2",4,151
"0d6kx6Jlocw77y1J9nbqMA","Scratch Pastries & Bistro","Scottsdale","AZ","85251",3.5,186
"o05HPzyrpcguxH9AL1Knvw","Pub Burgundy Lion","Montréal","QC","H3J 1N5",4,159
"S8VRQCBrbZI04zjCOc1RAA","Las Palmas","Pittsburgh","PA","15213",4.5,146
"9Wc9cypUeTtjkoPLkPsF-g","Native Grill & Wings","Mesa","AZ","85209",3,109
"uWECX6-Uq9n8v5ipk9R29A","Lola's A Louisana Kitchen","Las Vegas","NV","89102",4,811
"-MKWJZnMjSit406AUKf7Pg","Barrelhouse American Kitchen & Cocktails","Chandler","AZ","85224",4,172
"ZK-R-CcMrjuQKl9G910OWQ","Thai Basil","Richmond Hill","ON","L4S 1P3",3.5,127
"YnmtUJGqQIQL9tz1MRyfqA","Michael Mina Pub 1842","Las Vegas","NV","89109",4,501
"5iSlHNIy3RLbCP5AayB31g","Ruby Tuesday","Las Vegas","NV","89032",3.5,121
"s0vNtuLs1cwEqHTXKiS05w","Babystacks Cafe","Las Vegas","NV","89149",4,370
"Qeie5-8-S_hLPk7_ujpajw","The Nauti Mermaid","Cleveland","OH","44113",3.5,169
"pUmECN5N94AQAe0DtptuYA","Burrito Drive","Madison","WI","53703",3.5,100
"Qsg-2Coum0ccbXuJWDwZqA","Dogwood Southern Table & Bar","Charlotte","NC","28210",4.5,145
"dEq4Yj50tWOSzxqXloahsw","Classic Italian Pizza","Tempe","AZ","85283",4,110
"9XcWAcp1dCpcLcHTBENn-Q","Gourmet Malaysia","Scarborough","ON","M1S 1V2",3.5,176
"syRPwPqdV6h3eenuV1d6rg","Nak Won Restaurant","Markham","ON","L3R 3P9",2,119
"C8D_GU9cDDjbOJfCaGXxDQ","Culinary Dropout","Scottsdale","AZ","85251",4,997
"EC7NrIHKk6i3US_XJlDWDA","Julio's Too","Scottsdale","AZ","85251",4,121
"LUDX--wfStrKavGyitk4nA","The Keg Steakhouse + Bar","Phoenix","AZ","85050",4,281
"F80c5w4dUF1QoFcJG4JrmQ","Sweet Melissa","Rocky River","OH","44116",3.5,239
"OA5Li3ySzhrbG_WvD_QGYA","Barrio","Cleveland","OH","44113",4,428
"V90fC_aF-_DNYzQvUtbLww","Jayde Fuzion","Henderson","NV","89044",3,196
"kABF0hYfAEnl166mn1zR1A","The Noodle Man","Las Vegas","NV","89118",4,361
"xzQzJTu47vNCYlpB8jdMaw","George's  Kitchen","Cleveland","OH","44111",4.5,138
"ms4nFq8B56RHkFViRaAiWQ","Das Schnitzel Haus","Cleveland","OH","44129",4,124
"zYb4kj2R54R2YPeNm829BA","Sauce Italian Bistro & Bar","Henderson","NV","89014",3,182
"oWD385Ues-RWJmhP_Riz1g","Griddlecakes","Las Vegas","NV","89123",3.5,313
"n0bg7kf6HcpFchCtxJyc5A","Mr Chow","Las Vegas","NV","89109",3,181
"01SiPgdiOskMC5bUJoyy_g","Winchell's Pub & Grill","Las Vegas","NV","89119",3.5,100
"jXyy2Vc-Dgp7QguQJSfnXw","Lazeez","Las Vegas","NV","89117",4,169
"YAJzBGvqT3dT_qAg6u8E1A","Lebowski's Neighborhood Grill","Charlotte","NC","28203",4,256
"ZdaZwXC0FByDY3EwNELphw","Union","Toronto","ON","M6J 2Y7",4,165
"EAwh1OmG6t6p3nRaZOW_AA","Ellis Island Casino & Brewery","Las Vegas","NV","89109",4,1758
"T7yKffTuhiIZclsgjfgowA","Pizzeria Via Mercanti","Toronto","ON","M5T 1M1",4,147
"SycXTaA4MeJZuDK4Y1owDQ","Islands Restaurant","Las Vegas","NV","89135",3.5,206
"UcgCSTCtPv1GeW5bKsEdag","Grind Burger Bar and Lounge","Las Vegas","NV","89169",4,199
"vKKIO3Dc8m6i1C9UYwJzSQ","Kneaders Bakery & Cafe","Gilbert","AZ","85295",3,114
"fpM-O9Ul62xizBq9YNO_tQ","Romano's Macaroni Grill","Las Vegas","NV","89108",3,136
"5OqrwhtZ3mcmUSwLINZTWQ","Blossom","Las Vegas","NV","89109",4,211
"74C1z6cqEdvJVgETTcEodw","Portofino by Chef Michael LaPlaca","Las Vegas","NV","89109",4,227
"yfHYCkQaupRzWU8FIgxUPg","Star of India","Phoenix","AZ","85048",4,133
"FooKqQJ3UnsIG2slFPuLRA","Canter's Delicatessen","Las Vegas","NV","89109",3.5,141
"Cew9RRnuldbqaL3MW6p1wg","Greenwood Smokehouse BBQ","Toronto","ON","M4J 1L2",3.5,107
"Bo53nDtkmu0gAWraONir1A","L'espresso Bar Mercurio","Toronto","ON","M5S 1S5",3,103
"ZLPAP1YKL56ODigLn4wd3w","The Willeyville","Cleveland","OH","44113",4,106
"QFPS9JBNdOOHVP0C3pSslw","Earls Kitchen + Bar","Toronto","ON","V5H 1J9",3.5,285
"5fquJHY2hMX9tPRD5s0t5g","Rooster's Uptown","Charlotte","NC","28202",4,290
"-8iwcXhLnyqbLgvcrJGgaw","Red Rocks Cafe - Birkdale","Huntersville","NC","28078",3.5,133
"g6GXqg-QdDiQGLYMVqNOUw","Hapa Izakaya","Toronto","ON","M6G 1B4",3.5,139
"PAZC7ENEmDDgNMZngJSxxg","Hungry Brew Hops","Newmarket","ON","L3Y 3Z3",4,102
"PNTyiqS7R-0c1ofxOfDijQ","Cafe Monarch","Scottsdale","AZ","85251",4.5,478
"X2f2s37_cFKo4xpzGFqk1w","Hokkaido Seafood Buffet","Pittsburgh","PA","15217",3.5,169
"KalAJyO0Zpg3K1wVwYXBHA","Marché Bacchus","Las Vegas","NV","89128",4,509
"Kuv-QSWUtOm5IjAxcFMl8A","Luna Bakery Cafe","Cleveland","OH","44106",4,207
"WDKTg468bkRPW0LqbAZfmg","Sugar Factory","Las Vegas","NV","89119",3.5,324
"Oy2WnPyiOlPFvPKMIuOC8w","Tin Tin","Charlotte","NC","28210",3,173
"sYSlKRCWmVeQr1hA6-WUzw","Fresh on Eglinton","Toronto","ON","M4P 2Y3",3.5,104
"bupMXFUaZfranBLdaVcRww","Ginko","Cleveland","OH","44113",4,196
"UkWme3kwg6L9rd4tCNB15w","Moji Japanese Eatery","Markham","ON","L3R 9W5",3.5,177
"AZQKMMvX9m1-uTdLPMzK3g","Spokes On Southern","Tempe","AZ","85282",4,224
"G87Yg6as3LU5Af1IwoPIYg","Crazy Pita Rotisserie & Grill","Henderson","NV","89052",4,179
"0rjU_WK5HxoH1fIuEpTpcg","Zesty Zzeeks Pizza and Wings","Phoenix","AZ","85044",4,185
"5L4XcFz1YKeurNGeMR-fsQ","Randy's Restaurant & Ice Cream","Scottsdale","AZ","85250",4,190
"3BCsAgo_1i4xMuTyLKMLRQ","SkinnyFATS","Las Vegas","NV","89118",4.5,1311
"Twcjx4ofM9GWwXN6LVGSzw","Merchant Madison","Madison","WI","53703",4,374
"AspFf1d9sRaUloPJAHMqAg","Sushi Kim Restaurant","Pittsburgh","PA","15222",3,114
"Yc5_nA9NqqxOp8WCugF-Ng","500 Degrees New York Style Pizzeria","Charlotte","NC","28217",4.5,103
"BIqsItY0vyOshMpJ0I4cPg","How Lee Chinese Food","Pittsburgh","PA","15217",4,194
"JR2ma-JU1CO_xVD_p5-RPw","Joe's Crab Shack","Tempe","AZ","85283",3,217
"MdjIl105vqCYUGKFSUVytA","Colette Grand Cafe","Toronto","ON","M5V 2V5",3.5,147
"2q2gGuigGrCFmx3juLAVww","Mika's Greek","Tempe","AZ","85284",4,101
"UByM7N0mF-ylIGUuIWHCtA","Sullivan's Steakhouse","Charlotte","NC","28203",4,185
"Gdv3qhsDeQzZ2Ag-Tzq6vA","Rocco's NY Pizzeria","Las Vegas","NV","89135",4,240
"bgx6gYdktqEoQwBdo5lRbA","Serrano's Mexican Restaurant","Las Vegas","NV","89145",4.5,111
"JnKzrXKxY1cThJ0vNk-4pA","Sushi Kai","Toronto","ON","M4P 1A6",2.5,102
"kRgAf6j2y1eR0wOFdzFAuw","Firefly","Las Vegas","NV","89169",4.5,1130
"MVIthKWqwkQz0dai7LkVzQ","Tommy's Restaurant","Cleveland Heights","OH","44118",4,353
"bLtC8xJXkd1b6MT0KjnSvw","The Captain's Boil","Toronto","ON","M5G 1G7",3.5,136
"biVQDp3K_vNP1eK5wGZOJg","Kabab Palace","Tempe","AZ","85284",3.5,128
"umrDQGRNied77aVg29_fVw","Welcome Chicken + Donuts","Phoenix","AZ","85034",4,382
"RESDUcs7fIiihp38-d6_6g","Bacchanal Buffet","Las Vegas","NV","89109",4,5715
"YQFcxE9UXrKc-QuTUu7twQ","Loco Patron","Scottsdale","AZ","85251",3.5,274
"6tSvz_21BMo3a4GaItwa0g","JJANGA Japanese Restaurant","Las Vegas","NV","89103",4,805
"km5aBHRss5ir_B0jvEErzQ","McFadden's Restaurant and Saloon","Las Vegas","NV","89119",2,306
"MX2OYa2sS5ys_6AiK-gs3A","Pho Sing Sing","Las  Vegas","NV","89146",4,175
"xVHzCbDWCwmyavF5PgJRmg","Not Just Noodles","Toronto","ON","M4Y 1Z3",3.5,116
"8rtd2ZoeNMHjCQQnWuZ-bQ","Famous Toastery","Davidson","NC","28036",4,181
"IfdwBSEuDK3fKvVHVX9k0A","Tree Huggers Cafe","Berea","OH","44017",4,195
"MKYcOZSpMwJK7uwacK13EA","Smallman Galley","Pittsburgh","PA","15222",4.5,177
"iPM85PQMs7QoAxw-Og9ChQ","Gordon Biersch Brewery Restaurant","Las Vegas","NV","89145",3.5,185
"gA9hCYY7MYl9oZ3aym5dvw","Tokyo Lobby Sushi and Grill","Glendale","AZ","85308",4,272
"lF4pEu4_55SSFEo6Q58ftQ","German Bread Bakery","Las Vegas","NV","89134",4.5,138
"6PQve0oFCLPSh4wnIzvJtg","Buon Gusto Ristorante","Henderson","NV","89052",4,289
"LFs5jyYdXlzi0SpAYi1eSA","Maggiano's Little Italy","Las Vegas","NV","89109",4,1068
"2S9t90Q0qZWCV7X_u0rxZQ","Kenzo Ramen","Toronto","ON","M5G 1C3",3,198
"hTsZSiftorNUFb1VaHCHHg","Nook Kitchen","Phoenix","AZ","85018",4.5,346
"UXL5eg0e6W1AZzmX6NAXdg","Brickhouse Tavern","Davidson","NC","28036",3.5,115
"swX3Vj3dQsz1YlCRmwNQEQ","Eddie V's Prime Seafood","Scottsdale","AZ","85254",4,363
"TL5Dtfnf-5hYG13lBF9N2A","Benihana","Las Vegas","NV","89109",3.5,344
"x6PA-2j7LpZAYFo2VojmQQ","Little Fin","Toronto","ON","M5H 1Y4",3.5,128
"5cBF1x9873GVQ6FIw_Fnjg","Kneaders Bakery & Cafe","Henderson","NV","89052",3,115
"Y1WIH4jstH846oWcDnoZLw","Great Wall Chinese Restaurant","Gilbert","AZ","85297",4,117
"t8V_P7ZzRrhDQoqeoGVahQ","The Cellar At Duckworth's","Charlotte","NC","28202",4.5,164
"qmymSqVwHYRqdwfcBatzpQ","Vintner Grill","Las Vegas","NV","89135",4,521
"J4CATH00YZrq8Bne2S4_cw","CUT","Las Vegas","NV","89109",4,1115
"Wag4bnx38zJ4ihDn8-7--A","Handlebar-J","Scottsdale","AZ","85254",3.5,102
"SJo_IjvzdRtCvZVN0cbrRQ","The Blue Door Cafe & Bakery","Cuyahoga Falls","OH","44223",4.5,303
"CvpXZRF-I7wfm19dW1jOXA","Mark Rich's New York Pizza & Pasta","Las Vegas","NV","89135",3,146
"uKlkVuZ5F8QoGbgVQKqH1A","Firkin On Paradise","Las Vegas","NV","89169",3.5,100
"0xdpv5CPpbUUch7JKBG98Q","Sirio Ristorante","Las Vegas","NV","89109",3.5,163
"Sxx0E2KvnNCSqlIhbD0l_g","US Egg","Scottsdale","AZ","85251",4,341
"ZtJ6sTq7-5rL9ORUtQJHAQ","Gaetano's Ristorante","Henderson","NV","89052",4,300
"ng8vj7q4kFt7d4Ud4lBhHQ","Sushi Eye","Phoenix","AZ","85044",3.5,193
"5pMNyj77S1P3rrT69y1pkQ","Joe's New York Pizza","Scottsdale","AZ","85251",3.5,238
"XJN3OhXLBDa8zAqdi21FFQ","D'Vine Bistro & Wine Bar","Chandler","AZ","85248",3.5,143
"4JNXUYY8wbaaDmk3BPzlWw","Mon Ami Gabi","Las Vegas","NV","89109",4,6414
"yjX5l0UGoFdR4t5q3i2MTQ","Bavarian Point Restaurant","Mesa","AZ","85205",3,101
"Qor28v4BlhSwtN8DSvah9g","Pepe's Tacos","Las Vegas","NV","89108",3.5,132
"fS9a8AGrcwWPf_9vfn5wPQ","Angelina's Pho & Grill Bar","Glendale","AZ","85308",4,264
"XM2qN3PiQbfSYo6zmHgSlQ","Gillespie's Map Room","Cleveland","OH","44113",3.5,110
"Z4y3LZlCjv4xnZ8xOpYf_Q","TRUE Crafted Pizza","Charlotte","NC","28277",4,170
"WSGHEQdcdbBWXDpna99EiQ","Teriyaki Madness","Las Vegas","NV","89128",4,101
"BkIZ8UDA23qxnp_kR1Sv8Q","Eggspectation","Montréal","QC","H2X 2X3",4,231
"w9gr1-mA-7zBHPjPL87Nsg","Magnolia's Veranda","Las Vegas","NV","89101",3,143
"41Kbugm-qmIQTt7unkALYQ","Top of Binion's Steakhouse","Las Vegas","NV","89101",4,234
"L7txS44bvz862djgTOim9w","Bac Restaurant","Cleveland","OH","44113",4,308
"6okGKL2PA7kkc-GjZzNHnA","Johnny's Italian Steakhouse","Middleton","WI","53562",3.5,121
"N0l4hT7UCywbZ9UEZ1R9kQ","Patois Toronto","Toronto","ON","M6J 1V1",3.5,164
"SuRxV4YkPsvyyqK57On0rQ","Pura Vida Bakery & Bystro","Las Vegas","NV","89102",3.5,220
"pKiSzUlBBRNEdTML24piXA","Centurion","Phoenix","AZ","85003",4,211
"RZWx7pIsINH6nVqW7ys9cg","Ezekiel's","Phoenix","AZ","85044",4.5,159
"CBb7z-MTbkzBvsUHBDqxEg","Tony Roma's","Las Vegas","NV","89101",2,192
"_cjPEH9wXhKS-HQe_U3M4Q","Le Sélect Bistro","Toronto","ON","M5V 1E3",4,298
"mOzxFBAHWwpuH7u5xP0oHw","Takara Japanese Restaurant","Madison","WI","53703",3.5,125
"_5UAFrD3EDgJO1aZgRxH7w","Price's Chicken Coop","Charlotte","NC","28203",4,302
"Tf13Wexrt6WmNw-CDW5Gyg","Meatball Spot","Las Vegas","NV","89119",2.5,194
"8PBq-MHyLDrhkaTf72Foww","Dos Gringos","Tempe","AZ","85284",3,145
"whAwdYVty-jSNRhrYT2zHA","Pappadeaux Seafood Kitchen","Phoenix","AZ","85029",4,906
"USbeHpw9-zMtGct92LtJYg","Venezia's New York Style Pizzeria","Mesa","AZ","85205",4,132
"iL2-xJ4-eMsJk88PsbivbQ","Anthony & Marios Broadway Pizzeria","Las Vegas","NV","89106",4,215
"ZPAkg2phFo_p3U-QjvHVPw","Mama Santa's","Cleveland","OH","44106",3,207
"3sEOltqZs1cjRA4Pqkm_AQ","Bar 145 - Avon","Avon","OH","44011",3,101
"9a3DrZvpYxVs3k_qwlCNSw","Cibo","Phoenix","AZ","85003",4.5,1457
"W7Ua8ELRMm3IPd23fp7XjA","Matsuda Japanese Cuisine","Toronto","ON","M3B 2W6",3,130
"JsUprRhyzQyukZmAhcOg0A","Brio Tuscan Grille","Gilbert","AZ","85295",4,286
"GMrwDXRlAZU2zj5nH6l4vQ","Pho Thanh Huong","Las Vegas","NV","89119",4,340
"Z2fCgJdvjhZVP34V86UKCg","Bosa Donuts","Chandler","AZ","85225",4,165
"iPPzDL_oY8SJCjmycuXcVg","buzzberry","Scottsdale","AZ","85250",3.5,202
"8zN3nV0zbtE377_XhlvabA","Jolie's Place","Chandler","AZ","85225",3.5,124
"8pSKJ_qRUotjFl_bjH_GQA","The Cornerstone Brewing Company","Berea","OH","44017",4,100
"I8j1gHLKNJVN4dNVUOsedw","Vickie's Diner","Las Vegas","NV","89104",4,134
"Qmwfg-PtYuCo5Q_IwcA_HQ","JaBistro","Toronto","ON","M5V 1W4",4,288
"Qc0l8rZ3nvrcERitgxu8XA","Omelet House","Las Vegas","NV","89102",4.5,762
"ydhgMcBh4A_eihzEAg9LLQ","In-N-Out Burger","Chandler","AZ","85226",4,123
"8SwMaPL6AJIs1ZPSZ3NJ4w","Forte European Tapas Bar and Bistro","Las Vegas","NV","89103",4,358
"UPSzbM6D2SkarWAINq1I9A","Taydo Vietnamese & Chinese Restaurant","Parma","OH","44130",4,104
"3b94MZ9agaZL8SMBagTwpA","Bread and Butter","Henderson","NV","89052",4,312
"NWjJK9c5YOQSbMX_bw24sA","Crab & Mermaid","Scottsdale","AZ","85251",3.5,137
"713qzYFUK00yxwRyxsPt7Q","Bar 145","Kent","OH","44240",3,148
"HQl28KMwrEKHqhFrrDqVNQ","Deagan's Kitchen & Bar","Lakewood","OH","44107",4,326
"CsbNmQqu9dKFrgcIItevYA","Revel + Roost","Pittsburgh","PA","15222",3.5,105
"qmh6zxtJ8C8-YiUPv7ySlw","Daniel Boulud Brasserie","Las Vegas","NV","89136",4,219
"_6mvQX9x66oz046eS5ii8w","Juan's Authentic Mexican Food","Phoenix","AZ","85014",4,156
"_IZyyv0dFfpIy_rI_-nwTQ","Osaka Japanese Steakhouse","Mesa","AZ","85206",4,280
"1ZJz840L496LAmQdeDv0WA","Pinches Tacos","Las Vegas","NV","89101",4,344
"ZJjcyXWPg_d-jx7obAtitA","Dad's Pub & Grub","Monroeville","PA","15146",4,106
"PuB-oSX_fMh0822kChScrA","Ninja Japanese Restaurant","Chandler","AZ","85224",3,198
"2KWkeOk1KaH50Es_A-8cnA","Snooze an Am Eatery","Gilbert","AZ","85234",4,400
"Gt4z3AylNTsEPDkzkaC7HA","Stacks & Yolks","Las Vegas","NV","89113",3.5,647
"Ht-_i0UAq7YDBaqJwcQMdQ","Le Club Chasse et Pêche","Montréal","QC","H2Y 3B6",4.5,155
